Datetime,Latitude,Longitude,Height,Q,ns,Next_Lat,Next_Lon,Time_Diff,Distance,Speed,Acceleration,Turn_Rate,Road_Type
2023-11-29 04:57:39,12.770068801,77.346662338,677.9779,5,32,12.770044147,77.346418013,1.0,26.637150554832147,26.637150554832147,1.4249145057815582,2.7320318542611943,Main Road
2023-11-29 04:57:40,12.770044147,77.346418013,671.0248,5,32,12.770000251,77.346208788,1.0,23.20838161382652,23.20838161382652,-3.4287689410056252,0.9245018598653161,Main Road
2023-11-29 04:57:41,12.770000251,77.346208788,678.4612,5,32,12.769965974,77.345971237,1.0,26.0415412233146,26.0415412233146,2.833159609488078,6.086942207205311,Main Road
2023-11-29 04:57:42,12.769965974,77.345971237,677.3966,5,32,12.769947844,77.345730498,1.0,26.18455621463833,26.18455621463833,0.14301499132373152,3.638237662056369,Main Road
2023-11-29 04:57:43,12.769947844,77.345730498,671.7278,5,31,12.769909532,77.345489774,1.0,26.45053016271761,26.45053016271761,0.265973948079278,3.9039194752241855,Main Road
2023-11-29 04:57:44,12.769909532,77.345489774,671.2054,5,32,12.769880553,77.345251041,1.0,26.089064861383502,26.089064861383502,-0.3614653013341069,4.736162395137484,Main Road
2023-11-29 04:57:45,12.769880553,77.345251041,670.3807,5,32,12.769843908,77.345009517,1.0,26.507037201479275,26.507037201479275,0.41797234009577267,2.1218827621745646,Main Road
2023-11-29 04:57:46,12.769843908,77.345009517,667.4089,5,32,12.76981451,77.344767921,1.0,26.402926881699127,26.402926881699127,-0.10411031978014762,1.7062662534785886,Main Road
2023-11-29 04:57:47,12.76981451,77.344767921,668.2588,5,32,12.769778775,77.344526374,1.0,26.494143797520227,26.494143797520227,0.09121691582110003,1.6895634700863837,Main Road
2023-11-29 04:57:48,12.769778775,77.344526374,668.6283,5,32,12.769755271,77.344293716,1.0,25.36551521531699,25.36551521531699,-1.1286285822032376,1.4776385200835023,Main Road
2023-11-29 04:57:49,12.769755271,77.344293716,667.6304,5,32,12.769720326,77.344057427,1.0,25.91722254860141,25.91722254860141,0.5517073332844191,2.6467563767715774,Main Road
2023-11-29 04:57:50,12.769720326,77.344057427,669.0121,5,32,12.769692646,77.343823815,1.0,25.52026020034461,25.52026020034461,-0.39696234825679966,2.6438804703162617,Main Road
2023-11-29 04:57:51,12.769692646,77.343823815,668.3124,5,32,12.769663265,77.343590619,1.0,25.499022867364964,25.499022867364964,-0.02123733297964492,1.6552436149049186,Main Road
2023-11-29 04:57:52,12.769663265,77.343590619,669.1458,5,32,12.769623971,77.343377885,1.0,23.47998781114742,23.47998781114742,-2.019035056217543,0.4237096273747625,Main Road
2023-11-29 04:57:53,12.769623971,77.343377885,672.9906,5,32,12.769595126,77.343148649,1.0,25.0654920631194,25.0654920631194,1.5855042519719795,3.2841125893551606,Main Road
2023-11-29 04:57:54,12.769595126,77.343148649,675.9089,5,32,12.769568097,77.342903726,1.0,26.730110606919464,26.730110606919464,1.6646185438000636,3.2932330575128645,Main Road
2023-11-29 04:57:55,12.769568097,77.342903726,671.922,5,32,12.769539774,77.342678658,1.0,24.60978827427815,24.60978827427815,-2.120322332641315,0.8743777688785315,Main Road
